project_id,project_name,project_start_date,project_end_date,project_status,project_budget,researcher_id,publication_id,duration
EMP28,Evaluasi Terapi Komplementer untuk Diabetes,2021-07-25,2022-01-15,selesai,66258000,EMF1061,EMPUB2024,174 days
EMP30,Pengembangan Teknologi Nano dalam Farmasi,2021-05-09,2022-02-09,sedang berlangsung,44333000,EMF1005,EMPUB2027,276 days
EMP31,Pengembangan Obat Anti-Tuberculosis,2021-09-26,2022-08-06,sedang berlangsung,222812000,EMF1076,EMPUB2037,314 days
EMP32,Penelitian Penggunaan AI dalam Diagnosis,2021-10-17,2022-03-24,sedang berlangsung,235955000,EMF1025,EMPUB2095,158 days
EMP33,Penelitian Penanganan Wabah Virus,2021-08-11,2022-05-15,sedang berlangsung,208855000,EMF1079,EMPUB2082,277 days
EMP34,Penelitian Obat Anti-Aging,2021-11-29,2022-09-14,sedang berlangsung,32064000,EMF1093,EMPUB2016,289 days
EMP35,Studi Bioekivalensi untuk Obat Generik,2021-12-20,2022-07-30,sedang berlangsung,299877000,EMF1037,EMPUB2054,222 days
EMP36,Pengembangan Teknologi Nano dalam Farmasi,2022-10-01,2022-11-30,sedang berlangsung,244106000,EMF1044,EMPUB2096,60 days
EMP37,Studi Kombinasi Obat untuk Hipertensi,2022-01-31,2022-02-07,sedang berlangsung,202403000,EMF1060,EMPUB2052,7 days
EMP38,Studi Stabilitas Obat Baru,2022-02-21,2022-05-29,sedang berlangsung,221193000,EMF1015,EMPUB2073,97 days
EMP39,Evaluasi Pengobatan Psoriasis,2022-03-15,2022-09-19,selesai,215808000,EMF1092,EMPUB2005,188 days
EMP40,Penelitian Penanganan Wabah Virus,2022-05-04,2023-06-02,sedang berlangsung,153571000,EMF1041,EMPUB2066,394 days
EMP41,Pengembangan Antidepresan Generasi Baru,2022-04-26,2022-06-21,selesai,165649000,EMF1063,EMPUB2080,56 days
EMP42,Pengembangan Antidepresan Generasi Baru,2022-05-17,2022-06-26,sedang berlangsung,40783000,EMF1007,EMPUB2094,40 days
EMP43,Pengembangan Antidepresan Generasi Baru,2022-07-06,2023-05-28,sedang berlangsung,100509000,EMF1002,EMPUB2050,326 days
EMP45,Penelitian Terapi Stem Cell,2022-07-20,2023-03-01,selesai,232008000,EMF1075,EMPUB2089,224 days
EMP46,Penelitian Obat Anti-Aging,2022-10-08,2023-05-05,sedang berlangsung,230211000,EMF1052,EMPUB2032,209 days
EMP47,Evaluasi Terapi Komplementer untuk Diabetes,2022-08-31,2023-05-19,sedang berlangsung,91706000,EMF1066,EMPUB2007,261 days
EMP48,Pengembangan Antidepresan Generasi Baru,2022-09-21,2022-12-15,selesai,37470000,EMF1025,EMPUB2089,85 days
EMP49,Penelitian Penggunaan AI dalam Diagnosis,2022-12-10,2023-02-28,selesai,9868000,EMF1037,EMPUB2085,80 days
EMP50,Studi Kombinasi Obat untuk Hipertensi,2022-02-11,2023-09-02,sedang berlangsung,17038000,EMF1003,EMPUB2036,568 days
EMP51,Studi Stabilitas Obat Baru,2022-11-23,2023-09-15,selesai,133589000,EMF1025,EMPUB2066,296 days
EMP52,Penelitian Obat Anti-Aging,2022-12-15,2023-09-15,selesai,245962000,EMF1084,EMPUB2073,274 days
EMP53,Pengembangan Formula Antihistamin,2023-05-01,2023-10-21,selesai,246407000,EMF1064,EMPUB2011,173 days
EMP54,Studi Bioekivalensi untuk Obat Generik,2023-01-26,2023-05-04,selesai,293655000,EMF1000,EMPUB2035,98 days
EMP55,Penelitian Penggunaan AI dalam Diagnosis,2023-02-16,2023-04-24,selesai,118794000,EMF1052,EMPUB2042,67 days
EMP57,Pengembangan Teknologi Nano dalam Farmasi,2023-03-30,2024-04-02,sedang berlangsung,214682000,EMF1046,EMPUB2052,369 days
EMP58,Penelitian Penanganan Wabah Virus,2023-04-21,2024-11-01,sedang berlangsung,206673000,EMF1099,EMPUB2093,560 days
EMP59,Pengembangan Formula Antihistamin,2023-12-05,2024-08-04,sedang berlangsung,39492000,EMF1084,EMPUB2084,243 days
EMP60,Pengembangan Formula Antihistamin,2023-02-06,2023-07-11,selesai,3059000,EMF1017,EMPUB2020,155 days
EMP61,Pengembangan Teknologi Nano dalam Farmasi,2023-06-23,2023-09-16,selesai,135242000,EMF1054,EMPUB2073,85 days
EMP62,Pengembangan Antidepresan Generasi Baru,2023-07-14,2024-06-19,selesai,5059000,EMF1035,EMPUB2007,341 days
EMP63,Studi Perbandingan Efikasi Analgesik,2023-04-08,2024-01-03,sedang berlangsung,36660000,EMF1078,EMPUB2052,270 days
EMP64,Penelitian Obat Anti-Aging,2023-08-26,2024-04-18,sedang berlangsung,83109000,EMF1060,EMPUB2069,236 days
EMP65,Pengembangan Obat Anti-Tuberculosis,2023-09-16,2024-05-28,sedang berlangsung,90309000,EMF1050,EMPUB2057,255 days
EMP66,Penelitian Terapi Stem Cell,2023-07-10,2024-01-07,sedang berlangsung,159441000,EMF1046,EMPUB2062,181 days
EMP67,Penelitian Terapi Stem Cell,2023-10-28,2024-01-10,sedang berlangsung,153879000,EMF1023,EMPUB2089,74 days
EMP68,Penelitian Obat Anti-Aging,2023-11-18,2024-08-26,selesai,259077000,EMF1065,EMPUB2083,282 days
EMP69,Evaluasi Terapi Komplementer untuk Diabetes,2023-09-12,2024-08-01,selesai,254791000,EMF1000,EMPUB2016,324 days
EMP70,Studi Stabilitas Obat Baru,2023-12-31,2024-06-20,selesai,205258000,EMF1032,EMPUB2028,172 days
